日期,開盤,最高,最低,收盤,成交量,成交值,成交筆數
2005-01-03,51.0,51.5,50.5,51.0,26097000,1329675000,3799
2005-01-04,50.0,50.5,49.6,49.6,27821249,1387725977,5717
2005-01-05,48.8,48.8,48.5,48.5,38000268,1849824600,7999
2005-01-06,48.1,48.4,47.9,48.0,43601412,2097512280,7788
2005-01-07,47.8,47.9,47.5,47.8,43700220,2084223191,7675
2005-01-10,47.8,48.8,47.8,48.5,35252551,1705012470,6034
2005-01-11,48.3,48.6,48.0,48.2,32803041,1582430008,4117
2005-01-12,47.8,48.1,47.0,47.0,41124266,1955076510,7722
2005-01-13,47.3,47.8,46.5,46.8,35955679,1695906796,6580
2005-01-14,46.5,47.1,46.2,47.0,48925530,2285600511,7434
2005-01-17,47.8,48.9,47.6,48.9,41588451,2017275002,8299
2005-01-18,48.9,49.2,48.6,49.1,42294267,2067063909,5343
2005-01-19,49.1,49.3,47.7,47.7,31281266,1519647704,5182
2005-01-20,47.4,48.5,47.4,48.0,39515519,1898980816,5656
2005-01-21,47.7,48.0,47.5,47.5,28724975,1369594523,4184
2005-01-24,47.5,47.6,46.9,47.0,23761097,1120729079,4576
2005-01-25,46.7,47.7,46.7,47.6,37083831,1754331644,5781
2005-01-26,48.0,49.4,47.9,49.2,70886883,3456583110,13649
2005-01-27,49.2,49.5,48.9,49.4,43795289,2157487019,7771
2005-01-28,49.6,51.0,49.6,50.0,81134197,4072827998,14158
2005-01-31,50.5,52.5,50.5,52.0,127694591,6568446520,23244
2005-02-01,52.5,53.0,52.0,52.5,105802728,5545536262,17248
2005-02-02,53.0,54.0,53.0,53.5,106976639,5718198781,15632
2005-02-03,53.5,54.0,52.5,53.5,89138028,4754889170,11933
2005-02-14,54.5,55.5,54.0,54.5,139791000,7655896000,12208
2005-02-15,54.5,55.5,54.5,55.0,60535978,3321765893,12694
2005-02-16,55.0,55.0,53.5,54.5,38292945,2085128502,6994
2005-02-17,54.5,54.5,53.0,53.5,42977402,2312512762,7316
